REFERENCE,KEY,VALUE
AREAS,01,Unknown
AREAS,adoagt,Unknown
AREAS,ahdc,Unknown
AREAS,alerts,Unknown
AREAS,alexa,Unknown
AREAS,als,Unknown
AREAS,azarc,Unknown
AREAS,azbkp,Unknown
AREAS,azf,Unknown
AREAS,azinit,Unknown
AREAS,azinit2,Unknown
AREAS,aznettest,Unknown
AREAS,Barcode Allocation,BCAS
AREAS,barcoding,Unknown
AREAS,bat,Unknown
AREAS,big,Big
AREAS,bigapp,Big
AREAS,bigint,Big
AREAS,bigmqa,Big
AREAS,bigpapi,Big
AREAS,bigpapisit,Big
AREAS,bigutil,Big
AREAS,bldagt,Unknown
AREAS,bttest,Unknown
AREAS,caf,Unknown
AREAS,cci,Unknown
AREAS,ccib2c,Unknown
AREAS,ccidem,Unknown
AREAS,ccidev,Unknown
AREAS,cdf,Unknown
AREAS,cfpoc,Unknown
AREAS,Click and Drop (SF Lite),Click and Drop
AREAS,cloudmgmt,Unknown
AREAS,cmg,Unknown
AREAS,cn,Unknown
AREAS,Core,Core
AREAS,cpp,Unknown
AREAS,dcs,Unknown
AREAS,ddos,Unknown
AREAS,dilodo,Unknown
AREAS,dmz,Unknown
AREAS,dps,Unknown
AREAS,drs,Unknown
AREAS,dsp,Unknown
AREAS,dst,Unknown
AREAS,ebiz,Ebiz
AREAS,edm,Unknown
AREAS,eis,EIS
AREAS,elecrep,ElecRep
AREAS,epsbms,EPS
AREAS,epsbmsui,EPS
AREAS,epscommon,EPS
AREAS,epsmani,EPS
AREAS,epsmapi,EPS
AREAS,epsord,EPS
AREAS,epspapi,EPS
AREAS,epspb,EPS
AREAS,epssecapi,EPS
AREAS,epsshared,EPS
AREAS,epstapi,EPS
AREAS,epstdf,EPS
AREAS,epstibcobw,EPS
AREAS,epstm,EPS
AREAS,escore,Unknown
AREAS,etpc,ETP
AREAS,etpd,ETP
AREAS,evhpoc,EvhPoc
AREAS,fep,FEP
AREAS,Final Mile Optimisation,Final Mile
AREAS,g,Unknown
AREAS,GBI,GBI
AREAS,gold,Gold
AREAS,goldbuild,Gold
AREAS,hue,Unknown
AREAS,iam,Unknown
AREAS,id,Unknown
AREAS,ihc,Unknown
AREAS,image,Unknown
AREAS,images,Unknown
AREAS,infradev,Unknown
AREAS,intdmz,Unknown
AREAS,intutil,Unknown
AREAS,mg,Unknown
AREAS,Microsoft Centre of Excellence,Unknown
AREAS,mon,Unknown
AREAS,O365 OMS,O365
AREAS,opg,Unknown
AREAS,oro,Unknown
