subscription_name,resource_group,affix
AHDC FDS Development Environment,ahdc_automated_resource_group,unknown
AHDC FDS Development Environment,endava-devfds-agents,unknown
AHDC FDS Development Environment,endava-devfds-rg,unknown
AHDC FDS Development Environment,testmachine_group,unknown
Barcode Allocation,barcode-ad-vnet,Barcode Allocation
Barcode Allocation,barcode-int-rg,Barcode Allocation
Barcode Allocation,barcodepackagerepo,Barcode Allocation
Barcode Allocation,barcode-rg,Barcode Allocation
Barcode Allocation,barcode-selfhostedagents,Barcode Allocation
Barcode Allocation,barcode-support,Barcode Allocation
Barcode Allocation,barcode-test-rg,Barcode Allocation
Click and Drop (SF Lite),clickanddrop,Click and Drop (SF Lite)
Click and Drop (SF Lite),containerregistry,Click and Drop (SF Lite)
Click and Drop (SF Lite),default-networking,Click and Drop (SF Lite)
Click and Drop (SF Lite),elk,Click and Drop (SF Lite)
Click and Drop (SF Lite),iaincalvertubbytest,Click and Drop (SF Lite)
Click and Drop (SF Lite),jmtest,Click and Drop (SF Lite)
Click and Drop (SF Lite),k8s,Click and Drop (SF Lite)
Click and Drop (SF Lite),k8s-dev-backups,Click and Drop (SF Lite)
Click and Drop (SF Lite),k8s-live-backups,Click and Drop (SF Lite)
Click and Drop (SF Lite),k8s-uat-backups,Click and Drop (SF Lite)
Click and Drop (SF Lite),magento1,Click and Drop (SF Lite)
Click and Drop (SF Lite),megan-test-group,Click and Drop (SF Lite)
Click and Drop (SF Lite),sandbox,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-apimappsmanagedtm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-channelshipperwebsiteapigateway_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-channelshipperwebsitegateway_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-cndapigateway_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-cndidentityprovidergateway_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-grafanatm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-integrationstm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-k8sappscndtm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-k8sappssfctm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-k8sappstm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-paymentservice_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-printservice_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-rmconsumerapigateway_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-rmconsumercollectiongateway_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-rmconsumerjourney_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-rmobaemergencygateway_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-rmolppartner_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-rmparcelwebsitegateway_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-rmsupportportalgatewaytm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-services_csdb-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-g-trackingdatatm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-hub-ne-hub_vnet-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-hub-we-hub_vnet-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-ne-mssql_audit-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-apimappsbkupsa-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-appsapim-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-appsehn-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-appspgsql-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-azureinf_kv-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-cndapigateway_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-cnddesktop_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-cndwebsite_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-cndwebsiteapi_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-document_service_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-green_apps_cluster_nodes-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-green_apps_cluster-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-k8sapps_kv-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-k8sappscndtm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-k8sappssfctm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-k8sappstm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-magentowebsitedevtestmariadb-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-mssql_audit-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-notificationserviceehn-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-obaservice_tm-rg,Click and Drop (SF Lite)
Click and Drop (SF Lite),sf-dev01-we-opensearchsa-rg,Click and Drop (SF Lite)
